id,danji_name,sido,sigungu,dong,address2,new_address,house_count,dong_count,build_ym
2902,신동아1차,서울특별시,서초구,서초동,1333,서울 서초구 사임당로 137,893세대,6개동,1978년 12월
2903,신반포4차,서울특별시,서초구,잠원동,70,서울 서초구 잠원로 37-48,"1,212세대",12개동,1979년 10월
2904,현대그린,서울특별시,성동구,성수동1가,33-2,서울 성동구 뚝섬로3길 6,219세대,1개동,1994년 02월
2905,청구강변,서울특별시,성동구,성수동2가,712,서울 성동구 ,293세대,2개동,1994년 04월
2906,극동그린,서울특별시,성동구,옥수동,436,서울 성동구 독서당로 173,583세대,5개동,1997년 10월
2907,옥수삼성,서울특별시,성동구,옥수동,250,서울 성동구 독서당로 218,"1,444세대",11개동,1999년 04월
2908,옥수하이츠,서울특별시,성동구,옥수동,100,서울 성동구 한림말길 48,774세대,10개동,1998년 03월
2909,한남하이츠,서울특별시,성동구,옥수동,220-1,서울 성동구 독서당로 156,535세대,8개동,1982년 09월
2910,신안파크,서울특별시,성북구,길음동,635-168,서울 성북구 길음로 141,252세대,3개동,1988년 11월
2911,동소문현대,서울특별시,성북구,돈암동,630,서울 성북구 아리랑로5길 50-8,141세대,2개동,1994년 07월
2912,범양,서울특별시,성북구,돈암동,631,서울 성북구 정릉로 402-16,499세대,5개동,1998년 12월
2913,돈암삼성,서울특별시,성북구,돈암동,15-1,서울 성북구 동소문로34길 24,"1,278세대",7개동,1999년 04월
2914,돈암풍림,서울특별시,성북구,돈암동,632,서울 성북구 북악산로 913,460세대,5개동,1999년 05월
2915,한신한진,서울특별시,성북구,돈암동,609-1,서울 성북구 성북로4길 52,"4,509세대",31개동,1998년 07월
2916,미륭,서울특별시,송파구,가락동,138,서울 송파구 동남로 169,435세대,4개동,1986년 11월
2917,가락쌍용2차,서울특별시,송파구,가락동,21-6,서울 송파구 송이로15길 31,492세대,5개동,1999년 10월
2918,가락우성1차,서울특별시,송파구,가락동,96-1,서울 송파구 송파대로32길 8,839세대,7개동,1986년 12월
2919,성원4단지,서울특별시,노원구,월계동,322-1,서울 노원구 마들로3길 37,713세대,6개동,1995년 06월
2920,초안1단지,서울특별시,노원구,월계동,923,서울 노원구 덕릉로60길 185,410세대,3개동,1998년 04월
2921,대림벽산,서울특별시,노원구,중계동,363,서울 노원구 한글비석로8길 16,400세대,6개동,1993년 06월
2922,중계무지개,서울특별시,노원구,중계동,513,서울 노원구 동일로208길 19,"2,433세대",14개동,1991년 11월
2923,삼성,서울특별시,노원구,중계동,593,서울 노원구 중계로14나길 25,478세대,7개동,1999년 10월
